Year	Top Speed (mph)	0-60mph (sec)	Handling	Peak Power	Peak Torque	Traction Control	ABS	Ground Clearance	Drive Style	Tires	RQ Cost
1996	127	8.70	79	120	107	No	Yes	Medium	FWD	Performance	12
1997	143	7.60	70	188	197	No	Yes	Medium	FWD	Standard	12
1989	145	8.40	70	191	201	No	Yes	Medium	FWD	Standard	11
1997	137	8.70	76	161	142	No	Yes	Medium	FWD	Performance	11
2018	131	8.60	69	177	184	Yes	Yes	High	FWD	Standard	10
2014	131	8.40	70	148	272	Yes	Yes	High	FWD	Standard	10
1974	139	7.80	66	166	217	No	No	Medium	FWD	Performance	10
1993	132	9.00	71	155	137	No	Yes	Medium	FWD	Standard	10
2016	118	8.80	69	108	151	Yes	Yes	Medium	FWD	Standard	9
1970	142	8.30	65	178	171	No	No	Low	FWD	Performance	9
1993	118	8.70	70	100	89	No	No	Medium	FWD	Performance	8
2018	124	9.60	68	128	170	Yes	Yes	High	FWD	Standard	8
2014	115	9.80	67	118	118	Yes	Yes	High	FWD	Standard	8
2014	114	10.10	71	99	187	Yes	Yes	Medium	FWD	Standard	8
2001	130	9.30	67	138	142	No	Yes	Medium	FWD	Standard	8
2004	114	10.20	75	99	187	Yes	Yes	Medium	FWD	Standard	8
2015	96	12.30	74	68	70	Yes	Yes	Medium	FWD	Standard	7
2016	111	10.60	70	99	187	Yes	Yes	Medium	FWD	Standard	7
1978	109	9.10	69	105	99	No	No	Medium	FWD	Performance	7
1982	108	11.50	69	90	133	No	No	Medium	FWD	Standard	6
1991	111	10.60	75	92	148	No	Yes	Medium	FWD	Performance	6
1984	98	12.40	60	60	71	No	No	Medium	FWD	Standard	4
2016	80	15.40	58	64	180	No	Yes	Medium	RWD	Standard	4
1970	100	10.90	61	65	69	No	No	Medium	FWD	Standard	4
1973	109	13.30	66	106	101	No	No	Medium	FWD	Standard	4
1980	75	26.70	49	29	29	No	No	High	4WD	Off-Road	4
1979	65	31.40	45	29	29	No	No	Medium	FWD	Standard	3
1973	88	17.10	55	54	50	No	No	Medium	FWD	Standard	3
1969	90	19.00	62	49	50	No	No	Low	FWD	Standard	3
1934	65	25.00	57	46	50	No	No	Medium	FWD	Standard	3
1997	106	16.50	65	90	100	No	Yes	Medium	FWD	Standard	3
2017	203	2.30	82	840	771	Yes	Yes	Low	RWD	Performance	28
2013	206	3.40	89	640	600	Yes	Yes	Low	RWD	Performance	28
2016	177	3.40	92	645	600	Yes	Yes	Low	RWD	Performance	28
1996	200	3.20	95	600	600	No	No	Low	RWD	Slick	28
2015	200	3.70	83	707	650	Yes	Yes	Low	RWD	Performance	26
2018	200	3.70	85	707	650	Yes	Yes	Low	RWD	Performance	26
2015	204	3.40	81	707	650	Yes	Yes	Low	RWD	Performance	26
2015	175	4.10	83	485	475	Yes	Yes	Low	RWD	Performance	24
1990	160	4.90	80	300	307	No	Yes	Low	4WD	Performance	21
2008	155	5.90	84	285	265	Yes	Yes	Medium	FWD	Performance	20
2017	155	5.60	84	370	395	Yes	Yes	Medium	RWD	Performance	20
2006	160	4.70	80	425	420	Yes	Yes	Medium	RWD	Performance	20
2006	161	5.10	82	425	420	Yes	Yes	Medium	RWD	Performance	20
2007	114	6.90	69	260	265	Yes	Yes	High	4WD	All-Surface	20
